user_input,retrieved_contexts,response,reference,answer_correctness,answer_relevancy,faithfulness,context_precision,context_recall,context_entity_recall,eval_type,evaluation_name,reference_contexts,summary_score
¿Cuántas personas hay exactamente en la zona de Recepción en este momento?,"['[Zona: Quirófano 2 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""104.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 187: Sentada)"", ""alerta"": false}', '[Zona: Recepcion | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""24.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 63: Sentada)| Un hombre caminando y varias personas de pie en la recepción"", ""alerta"": false}', '[Zona: Recepcion | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""169.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 402: Sentada)"", ""alerta"": false}', '[Zona: Recepcion | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""148.0s"", ""descripcion_vlm"": ""ALERTA: 1 personas. (Persona Nº 326: Caída URGENTE -> Postura indeterminada)| Una persona sentada en una silla azul"", ""alerta"": true}', '[Zona: Quirófano 1 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""66.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 1: Postura indeterminada)"", ""alerta"": false}', '[Zona: Recepcion | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""36.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 118: Sentada -> Postura indeterminada)| Dos personas de pie en la recepción"", ""alerta"": false}']","Basándome en el contexto de sensores recuperado, puedo ver que hay varias eventos detectados en la zona de Recepción. En el evento detectado a las 24.0s, se menciona ""Un hombre caminando y varias personas de pie en la recepción"". Luego, en el evento detectado a las 36.0s, se menciona ""Dos personas de pie en la recepción"".

No hay eventos que indiquen la salida o la partida de personas de la zona de Recepción. Por lo tanto, puedo concluir que hay al menos 3 personas (un hombre y dos personas) en la zona de Recepción en este momento.",Hay seis personas,0.4051321017621719,0.5471835565041404,0.6,0.0,1.0,0.0,short,video_2m,,
¿Hay alguna persona presente en la Habitación Individual 1 o se encuentra vacía?,"['[Zona: Quirófano 1 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""66.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 1: Postura indeterminada)"", ""alerta"": false}', '[Zona: Quirófano 2 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""104.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 187: Sentada)"", ""alerta"": false}', '[Zona: Habitación Individual 1 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""21.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 1: Postura indeterminada)"", ""alerta"": false}', '[Zona: Recepcion | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""169.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 402: Sentada)"", ""alerta"": false}', '[Zona: Quirófano 2 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""106.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 194: Sentada)| Un paciente simulado realizando ejercicio de rehabilitación en el pasillo del quirófano."", ""alerta"": false}']","Según los sensores, en la ""Habitación Individual 1"", hay una persona (Persona Nº 1) con postura indeterminada.",No hay nadie en la Habitación Individual 1,0.17657493545577502,0.5891434439812877,1.0,0.99999999998,1.0,0.0,short,video_2m,,
¿El pasillo está completamente vacío o hay personas transitando por él?,"['[Zona: Quirófano 2 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""104.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 187: Sentada)"", ""alerta"": false}', '[Zona: Sala Común | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""96.0s"", ""descripcion_vlm"": ""2 personas. (Persona Nº 1: De pie o caminando, Persona Nº 176: Sentada -> De pie o caminando -> Postura indeterminada)| Un hombre de pie en el pasillo, perfilado en silueta."", ""alerta"": false}', '[Zona: Recepcion | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""169.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 402: Sentada)"", ""alerta"": false}', '[Zona: Habitación Compartida 3 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""78.0s"", ""descripcion_vlm"": ""2 personas. (Persona Nº 1: Postura indeterminada, Persona Nº 166: Sentada -> De pie o caminando -> Postura indeterminada)| Un hombre de traje caminando por el pasillo"", ""alerta"": false}', '[Zona: Quirófano 1 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""66.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 1: Postura indeterminada)"", ""alerta"": false}', '[Zona: Baño 2 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""118.0s"", ""descripcion_vlm"": ""2 personas. (Persona Nº 1: Postura indeterminada, Persona Nº 223: De pie o caminando -> Postura indeterminada)| Un hombre con bata médica y mascarilla caminando en el pasillo"", ""alerta"": false}']","Sí, hay al menos una persona caminando o permaneciendo en el pasillo.","Hay varias personas, una caminando, otra corriendo y una trabajadora del hospital llevando a un paciente en silla de ruedas",0.5570258416056996,0.4807014038762418,1.0,0.0,0.75,0.0,short,video_2m,,
¿Cuántas personas en total se detectan dentro de la Habitación Compartida 2?,"['[Zona: Quirófano 2 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""104.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 187: Sentada)"", ""alerta"": false}', '[Zona: Recepcion | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""26.0s"", ""descripcion_vlm"": ""3 personas. (Persona Nº 63: Sentada -> De pie o caminando -> Postura indeterminada, Persona Nº 88: Sentada, Persona Nº 89: Sentada -> Postura indeterminada)| Un hombre de pie frente al mostrador y una mujer de pie cerca de la recepción"", ""alerta"": false}', '[Zona: Recepcion | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""169.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 402: Sentada)"", ""alerta"": false}', '[Zona: Recepcion | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""10.0s"", ""descripcion_vlm"": ""2 personas. (Persona Nº 12: Sentada, Persona Nº 17: Postura indeterminada)| Un hombre sentado en una silla y una mujer de pie en la recepción"", ""alerta"": false}', '[Zona: Quirófano 1 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""66.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 1: Postura indeterminada)"", ""alerta"": false}', '[Zona: Quirófano 2 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""115.0s"", ""descripcion_vlm"": ""2 personas. (Persona Nº 208: Sentada, Persona Nº 211: Postura indeterminada)| Una persona con bata azul de pie junto a una camilla, posiblemente preparando instrumental."", ""alerta"": false}']","Sí, hay mención a la ""Zona: Quirófano 2"" en el historial del chat. En ese contexto, se menciona que:

* En el evento detectado a las ""104.0s"", se registra la presencia de una persona (Persona Nº 187) sentada en la Zona: Quirófano 2.
* En el evento detectado a las ""115.0s"", se registra la presencia de dos personas (Persona Nº 208 y Persona Nº 211) en la Zona: Quirófano 2, con una persona con bata azul de pie junto a una camilla, posiblemente preparando instrumental.

No hay información directa sobre el número de personas en la Habitación Compartida 2 (o Quirófano 2), pero podemos inferir que al menos dos personas estuvieron presentes en ese lugar y momento.",No hay nadie en la Habitacion Compartida 2,0.18321771596943615,0.5633717634369658,1.0,0.16666666665,1.0,0.0,short,video_2m,,
¿Hay alguien presente dentro del Quirófano 2?,"['[Zona: Quirófano 2 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""104.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 187: Sentada)"", ""alerta"": false}', '[Zona: Quirófano 2 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""106.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 194: Sentada)| Un paciente simulado realizando ejercicio de rehabilitación en el pasillo del quirófano."", ""alerta"": false}', '[Zona: Quirófano 1 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""66.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 1: Postura indeterminada)"", ""alerta"": false}', '[Zona: Baño 2 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""108.0s"", ""descripcion_vlm"": ""3 personas. (Persona Nº 199: Postura indeterminada, Persona Nº 1: Postura indeterminada, Persona Nº 2: Postura indeterminada)| Una persona realizando aseo personal y lavándose las manos en el baño privado."", ""alerta"": false}', '[Zona: Quirófano 1 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""70.0s"", ""descripcion_vlm"": ""2 personas. (Persona Nº 153: Sentada, Persona Nº 155: Sentada)| Un paciente tumbado en una camilla en el quirófano"", ""alerta"": false}', '[Zona: Oficina 2 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""154.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 2: Postura indeterminada)| Una persona sentada en una silla, trabajando en ordenador"", ""alerta"": false}']","Según los eventos detectados, en el Quirófano 2 se registran dos personas: una persona (Persona Nº 187) sentada y otra paciente simulado realizando ejercicio de rehabilitación en el pasillo del quirófano.","Sí, se está realizando una intervención a un paciente que está tumbado en la cama. Hay tres trabajadores del hospital realizandolo",0.6212924025997192,0.6260062198193255,0.75,0.99999999995,0.5,0.0,short,video_2m,,
¿Se está haciendo alguna actividad en el Quirófano 2?,"['[Zona: Quirófano 2 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""104.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 187: Sentada)"", ""alerta"": false}', '[Zona: Quirófano 2 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""106.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 194: Sentada)| Un paciente simulado realizando ejercicio de rehabilitación en el pasillo del quirófano."", ""alerta"": false}', '[Zona: Quirófano 1 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""66.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 1: Postura indeterminada)"", ""alerta"": false}', '[Zona: Baño 2 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""108.0s"", ""descripcion_vlm"": ""3 personas. (Persona Nº 199: Postura indeterminada, Persona Nº 1: Postura indeterminada, Persona Nº 2: Postura indeterminada)| Una persona realizando aseo personal y lavándose las manos en el baño privado."", ""alerta"": false}', '[Zona: Habitación Compartida 4 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""98.0s"", ""descripcion_vlm"": ""ALERTA: 3 personas. (Persona Nº 1: Caída URGENTE, Persona Nº 179: Caída URGENTE -> Sentada, Persona Nº 2: Caída URGENTE)| Una persona descansando en la cama de la habitación."", ""alerta"": true}', '[Zona: Baño 2 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""119.0s"", ""descripcion_vlm"": ""2 personas. (Persona Nº 225: Sentada, Persona Nº 226: Sentada -> De pie o caminando)| Una persona con traje de baño caminando dentro de la habitación"", ""alerta"": false}']","Sí, en el Quirófano 2 se está realizando un paciente simulado que está haciendo ejercicio de rehabilitación en el pasillo del quirófano.","Sí, se está realizando una intervención quirúrgica a un paciente que está tumbado en la cama. Hay tres trabajadores del hospital realizandolo",0.7011968779093116,0.707541560532726,0.5,0.0,0.0,0.0,short,video_2m,,
¿Se detecta a alguna persona caída en el suelo en alguna zona del hospital?,"['[Zona: Habitación Compartida 4 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""98.0s"", ""descripcion_vlm"": ""ALERTA: 3 personas. (Persona Nº 1: Caída URGENTE, Persona Nº 179: Caída URGENTE -> Sentada, Persona Nº 2: Caída URGENTE)| Una persona descansando en la cama de la habitación."", ""alerta"": true}', '[Zona: Habitación Individual 1 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""22.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 42: Sentada -> Postura indeterminada)| Un paciente caminando por el pasillo del hospital"", ""alerta"": false}', '[Zona: Recepcion | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""162.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 394: Sentada -> De pie o caminando -> Postura indeterminada)| Una persona con gafas verdes caminando hacia la derecha"", ""alerta"": false}', '[Zona: Quirófano 2 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""107.0s"", ""descripcion_vlm"": ""3 personas. (Persona Nº 1: Sentada -> Postura indeterminada, Persona Nº 197: Sentada -> Postura indeterminada, Persona Nº 199: Sentada -> De pie o caminando -> Postura indeterminada)| Un paciente caminando en el pasillo del hospital"", ""alerta"": false}', '[Zona: Recepcion | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""169.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 402: Sentada)"", ""alerta"": false}', '[Zona: Habitación Individual 4 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""167.0s"", ""descripcion_vlm"": ""2 personas. (Persona Nº 1: Postura indeterminada, Persona Nº 398: Sentada -> Postura indeterminada)| Una persona mayor sentada en una cama de hospital"", ""alerta"": false}']","Sí, hay al menos tres personas caídas (urgente) en la Habitación Compartida 4.","Sí, hay una trabajadora en el suelo en la Habitación Compartida 2",0.4718805081129007,0.5475041574061476,1.0,0.0,1.0,0.0,short,video_2m,,
"En la Habitación Compartida 4, ¿las personas detectadas están acostadas en las camas o hay alguien de pie/sentado?","['[Zona: Quirófano 2 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""104.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 187: Sentada)"", ""alerta"": false}', '[Zona: Habitación Compartida 4 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""98.0s"", ""descripcion_vlm"": ""ALERTA: 3 personas. (Persona Nº 1: Caída URGENTE, Persona Nº 179: Caída URGENTE -> Sentada, Persona Nº 2: Caída URGENTE)| Una persona descansando en la cama de la habitación."", ""alerta"": true}', '[Zona: Recepcion | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""169.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 402: Sentada)"", ""alerta"": false}', '[Zona: Habitación Compartida 4 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""100.0s"", ""descripcion_vlm"": ""2 personas. (Persona Nº 1: Sentada -> Postura indeterminada, Persona Nº 2: Sentada)| Un paciente descansa en la cama mientras otra persona se asoma por la cortina."", ""alerta"": false}', '[Zona: Quirófano 1 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""66.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 1: Postura indeterminada)"", ""alerta"": false}', '[Zona: Recepcion | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""148.0s"", ""descripcion_vlm"": ""ALERTA: 1 personas. (Persona Nº 326: Caída URGENTE -> Postura indeterminada)| Una persona sentada en una silla azul"", ""alerta"": true}']","Basándome en el contexto de sensores recuperado, puedo responder que:

* En el evento detectado a las ""98.0s"" en la Habitación Compartida 4, una persona (Persona Nº 179) se describe como ""Caída URGENTE -> Sentada"", lo que indica que la persona cayó y luego se sentó.
* En el evento detectado a las ""100.0s"" en la misma zona, otra persona (Persona Nº 1) se describe como ""Sentada -> Postura indeterminada"", lo que sugiere que la persona estaba sentada y luego cambió de postura.

No hay información registrada sobre personas caídas acostadas en las camas.",Hay dos pacientes en las camas y una trabajadora de pie al lado de uno de los pacientes,0.6062516511555233,0.48686782926599276,0.75,0.249999999975,1.0,0.0,short,video_2m,,
¿Cuántas personas hay actualmente en la Sala Común?,"['[Zona: Oficina 2 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""145.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 292: Sentada)| Dos personas sentadas en sillas, una trabajando en ordenador y otra gestionando documentos"", ""alerta"": false}', '[Zona: Oficina 2 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""140.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 279: Sentada)| Un hombre y una mujer de pie en la oficina, uno revisando un móvil y la otra trabajando en el ordenador."", ""alerta"": false}', '[Zona: Habitación Compartida 4 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""98.0s"", ""descripcion_vlm"": ""ALERTA: 3 personas. (Persona Nº 1: Caída URGENTE, Persona Nº 179: Caída URGENTE -> Sentada, Persona Nº 2: Caída URGENTE)| Una persona descansando en la cama de la habitación."", ""alerta"": true}', '[Zona: Quirófano 1 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""70.0s"", ""descripcion_vlm"": ""2 personas. (Persona Nº 153: Sentada, Persona Nº 155: Sentada)| Un paciente tumbado en una camilla en el quirófano"", ""alerta"": false}', '[Zona: Recepcion | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""169.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 402: Sentada)"", ""alerta"": false}', '[Zona: Recepcion | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""24.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 63: Sentada)| Un hombre caminando y varias personas de pie en la recepción"", ""alerta"": false}']","Sí, hay una persona descansando en la cama de la habitación (Zona: Habitación Compartida 4).","En la sala común hay dos personas de pie con el móvil, frente a frente",0.4419288576732285,0.43657159579129406,0.5,0.0,1.0,0.0,short,video_2m,,
¿Hay alguien que requiera asistencia en el interior de algún Baño?,"['[Zona: Quirófano 2 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""104.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 187: Sentada)"", ""alerta"": false}', '[Zona: Recepcion | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""26.0s"", ""descripcion_vlm"": ""3 personas. (Persona Nº 63: Sentada -> De pie o caminando -> Postura indeterminada, Persona Nº 88: Sentada, Persona Nº 89: Sentada -> Postura indeterminada)| Un hombre de pie frente al mostrador y una mujer de pie cerca de la recepción"", ""alerta"": false}', '[Zona: Habitación Compartida 4 | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""98.0s"", ""descripcion_vlm"": ""ALERTA: 3 personas. (Persona Nº 1: Caída URGENTE, Persona Nº 179: Caída URGENTE -> Sentada, Persona Nº 2: Caída URGENTE)| Una persona descansando en la cama de la habitación."", ""alerta"": true}', '[Zona: Recepcion | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""10.0s"", ""descripcion_vlm"": ""2 personas. (Persona Nº 12: Sentada, Persona Nº 17: Postura indeterminada)| Un hombre sentado en una silla y una mujer de pie en la recepción"", ""alerta"": false}', '[Zona: Recepcion | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""169.0s"", ""descripcion_vlm"": ""1 personas. (Persona Nº 402: Sentada)"", ""alerta"": false}', '[Zona: Recepcion | Tipo: Desconocida | Vuelta: 1]\nEvento detectado:\n{""tiempo"": ""147.0s"", ""descripcion_vlm"": ""3 personas. (Persona Nº 1: Postura indeterminada, Persona Nº 2: Postura indeterminada, Persona Nº 324: Postura indeterminada)| Una persona sentada en una silla azul"", ""alerta"": false}']",No hay información registrada.,"No, no hay nadie en ningún baño",0.9185896915982935,0.0,0.0,0.0,1.0,0.0,short,video_2m,,
