user_input,retrieved_contexts,response,reference,answer_correctness,answer_relevancy,faithfulness,eval_type,evaluation_name,reference_contexts,summary_score
¿Cuántas personas hay exactamente en la zona de Recepción en este momento?,"['[Zona: Quirófano 1 | Vuelta: 1]\n{\n  ""tipo_zona"": ""Crítica y Alta Esterilidad"",\n  ""rango_temporal"": ""918s - 1064s"",\n  ""eventos_recientes"": [\n    {\n      ""tiempo"": ""932s"",\n      ""descripcion_vlm"": ""1 p. (P1: De pie (?))"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1042s"",\n      ""descripcion_vlm"": ""1 p. (P1: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1043s"",\n      ""descripcion_vlm"": ""1 p. (P1: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1044s"",\n      ""descripcion_vlm"": ""1 p. (P1: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1045s"",\n      ""descripcion_vlm"": ""1 p. (P148: De pie o caminando)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1046s"",\n      ""descripcion_vlm"": ""1 p. (P148: De pie o caminando)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1047s"",\n      ""descripcion_vlm"": ""1 p. (P148: De pie o caminando)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1048s"",\n      ""descripcion_vlm"": ""1 p. (P148: De pie (?))"",', '[Zona: Habitación Compartida 2 | Vuelta: 1]\n{\n  ""tipo_zona"": ""Privada y Pacientes"",\n  ""rango_temporal"": ""1068s - 1190s"",\n  ""eventos_recientes"": [\n    {\n      ""tiempo"": ""1155s"",\n      ""descripcion_vlm"": ""1 p. (P1: Caída URGENTE)"",\n      ""alerta"": true\n    }\n  ]\n}', '[Zona: Escaleras 2 | Vuelta: 1]\n{\n  ""tipo_zona"": ""Tránsito y Evacuación"",\n  ""rango_temporal"": ""2388s - 2395s"",\n  ""eventos_recientes"": []\n}']",No hay información registrada sobre la zona de Recepción.,Hay seis personas,0.13087493530365715,0.0,0.0,short,hybrid+reranker+simplified,,
¿Hay alguna persona presente en la Habitación Individual 1 o se encuentra vacía?,"['[Zona: Habitación Individual 3 | Vuelta: 1]\n{\n  ""tipo_zona"": ""Privada y Pacientes"",\n  ""rango_temporal"": ""1898s - 2056s"",\n  ""eventos_recientes"": []\n}', '[Zona: Habitación Individual 1 | Vuelta: 1]\n""alerta"": false\n    },\n    {\n      ""tiempo"": ""417s"",\n      ""descripcion_vlm"": ""2 p. (P108: De pie o caminando, P112: De pie (?))"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""418s"",\n      ""descripcion_vlm"": ""2 p. (P108: De pie o caminando, P112: De pie (?))"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""419s"",\n      ""descripcion_vlm"": ""4 p. (P1: De pie o caminando, P2: De pie (?), P3: De pie o caminando, P4: De pie (?))"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""420s"",\n      ""descripcion_vlm"": ""1 p. (P119: De pie o caminando)"",\n      ""alerta"": false\n    }\n  ]\n}', '[Zona: Habitación Individual 2 | Vuelta: 1]\n},\n    {\n      ""tiempo"": ""518s"",\n      ""descripcion_vlm"": ""2 p. (P130: De pie o caminando, P135: De pie o caminando)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""519s"",\n      ""descripcion_vlm"": ""2 p. (P130: De pie o caminando, P135: De pie o caminando)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""520s"",\n      ""descripcion_vlm"": ""2 p. (P130: De pie o caminando, P135: De pie o caminando)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""521s"",\n      ""descripcion_vlm"": ""2 p. (P130: De pie o caminando, P135: De pie o caminando)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""522s"",\n      ""descripcion_vlm"": ""2 p. (P130: De pie o caminando, P135: De pie o caminando)"",\n      ""alerta"": false\n    }\n  ]\n}']","Según el contexto de sensores recuperado, en la Habitación Individual 1 no hay información registrada sobre la ocupación. Sin embargo, se detectan personas (2 p.) realizando actividades como caminar o estar de pie en diferentes momentos del rango temporal. Por lo tanto, puedo concluir que la habitación está ocupada.",No hay nadie en la Habitación Individual 1,0.5401144246585393,0.6426864490515969,0.3333333333333333,short,hybrid+reranker+simplified,,
¿El pasillo está completamente vacío o hay personas transitando por él?,"['[Zona: Escaleras 1 | Vuelta: 1]\n{\n  ""tipo_zona"": ""Tránsito y Evacuación"",\n  ""rango_temporal"": ""62s - 94s"",\n  ""eventos_recientes"": [\n    {\n      ""tiempo"": ""80s"",\n      ""descripcion_vlm"": ""1 p. (P1: Sentada (?))"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""86s"",\n      ""descripcion_vlm"": ""1 p. (P1: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""88s"",\n      ""descripcion_vlm"": ""2 p. (P1: Sentada, P2: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""89s"",\n      ""descripcion_vlm"": ""1 p. (P1: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""90s"",\n      ""descripcion_vlm"": ""1 p. (P86: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""91s"",\n      ""descripcion_vlm"": ""2 p. (P86: Sentada, P87: De pie o caminando)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""92s"",\n      ""descripcion_vlm"": ""2 p. (P86: Sentada, P87: De pie (?))"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""93s"",\n      ""descripcion_vlm"": ""2 p. (P86: Sentada, P87: De pie (?))"",', '[Zona: Sala Común | Vuelta: 1]\n{\n  ""tipo_zona"": ""Pública y Espera"",\n  ""rango_temporal"": ""1286s - 1361s"",\n  ""eventos_recientes"": [\n    {\n      ""tiempo"": ""1306s"",\n      ""descripcion_vlm"": ""2 p. (P1: De pie (?), P2: De pie o caminando)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1307s"",\n      ""descripcion_vlm"": ""2 p. (P150: De pie (?), P151: De pie o caminando)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1308s"",\n      ""descripcion_vlm"": ""2 p. (P150: De pie (?), P151: De pie o caminando)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1309s"",\n      ""descripcion_vlm"": ""2 p. (P150: De pie (?), P151: De pie o caminando)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1310s"",\n      ""descripcion_vlm"": ""2 p. (P150: De pie (?), P151: De pie o caminando). - Sujeto ID_150 (Caja ROJA): Historial -> De pie o caminando ... (?)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1311s"",', '[Zona: Habitación Individual 2 | Vuelta: 1]\n},\n    {\n      ""tiempo"": ""518s"",\n      ""descripcion_vlm"": ""2 p. (P130: De pie o caminando, P135: De pie o caminando)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""519s"",\n      ""descripcion_vlm"": ""2 p. (P130: De pie o caminando, P135: De pie o caminando)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""520s"",\n      ""descripcion_vlm"": ""2 p. (P130: De pie o caminando, P135: De pie o caminando)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""521s"",\n      ""descripcion_vlm"": ""2 p. (P130: De pie o caminando, P135: De pie o caminando)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""522s"",\n      ""descripcion_vlm"": ""2 p. (P130: De pie o caminando, P135: De pie o caminando)"",\n      ""alerta"": false\n    }\n  ]\n}']","Basándome en el contexto de sensores recuperado, puedo responder que sí, hay personas transitando en el pasillo. En la zona ""Escaleras 1"", se registran eventos como ""2 p. (P86: Sentada, P87: De pie o caminando)"" y ""2 p. (P86: Sentada, P87: De pie (?))"" entre los segundos 91 y 93.","Hay varias personas, una caminando, otra corriendo y una trabajadora del hospital llevando a un paciente en silla de ruedas",0.5258686882954846,0.5353784246468566,1.0,short,hybrid+reranker+simplified,,
¿Cuántas personas en total se detectan dentro de la Habitación Compartida 2?,"['[Zona: Habitación Compartida 2 | Vuelta: 1]\n{\n  ""tipo_zona"": ""Privada y Pacientes"",\n  ""rango_temporal"": ""1068s - 1190s"",\n  ""eventos_recientes"": [\n    {\n      ""tiempo"": ""1155s"",\n      ""descripcion_vlm"": ""1 p. (P1: Caída URGENTE)"",\n      ""alerta"": true\n    }\n  ]\n}', '[Zona: Habitación Compartida 3 | Vuelta: 1]\n{\n  ""tipo_zona"": ""Privada y Pacientes"",\n  ""rango_temporal"": ""1065s - 1285s"",\n  ""eventos_recientes"": []\n}', '[Zona: Habitación Compartida 5 | Vuelta: 1]\n""alerta"": false\n    },\n    {\n      ""tiempo"": ""1771s"",\n      ""descripcion_vlm"": ""2 p. (P199: Sentada, P200: De pie (?))"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1772s"",\n      ""descripcion_vlm"": ""2 p. (P199: Sentada, P200: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1773s"",\n      ""descripcion_vlm"": ""2 p. (P199: Sentada, P200: Sentada)"",\n      ""alerta"": false\n    }\n  ]\n}']","Según el contexto de sensores recuperado, en la Habitación Compartida 2 no hay información registrada sobre el número de personas. Sin embargo, se registra un evento urgente de caída a las 1155s, lo que sugiere que al menos una persona está presente en la zona.",No hay nadie en la Habitacion Compartida 2,0.41789253646157637,0.6910862378138636,0.3333333333333333,short,hybrid+reranker+simplified,,
¿Hay alguien presente dentro del Quirófano 2?,"['[Zona: Quirófano 2 | Vuelta: 1]\n{\n  ""tipo_zona"": ""Crítica y Alta Esterilidad"",\n  ""rango_temporal"": ""1362s - 1557s"",\n  ""eventos_recientes"": [\n    {\n      ""tiempo"": ""1365s"",\n      ""descripcion_vlm"": ""1 p. (P1: Caída URGENTE)"",\n      ""alerta"": true\n    },\n    {\n      ""tiempo"": ""1366s"",\n      ""descripcion_vlm"": ""1 p. (P1: Caída URGENTE)"",\n      ""alerta"": true\n    },\n    {\n      ""tiempo"": ""1367s"",\n      ""descripcion_vlm"": ""1 p. (P1: Caída URGENTE)"",\n      ""alerta"": true\n    },\n    {\n      ""tiempo"": ""1468s"",\n      ""descripcion_vlm"": ""1 p. (P1: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1473s"",\n      ""descripcion_vlm"": ""1 p. (P1: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1474s"",\n      ""descripcion_vlm"": ""1 p. (P1: De pie (?))"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1478s"",\n      ""descripcion_vlm"": ""1 p. (P1: De pie (?))"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1480s"",\n      ""descripcion_vlm"": ""1 p. (P1: De pie o caminando)"",\n      ""alerta"": false\n    },', '[Zona: Quirófano 2 | Vuelta: 1]\n""alerta"": false\n    },\n    {\n      ""tiempo"": ""1517s"",\n      ""descripcion_vlm"": ""2 p. (P169: De pie (?), P170: De pie (?))"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1550s"",\n      ""descripcion_vlm"": ""1 p. (P1: De pie (?))"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1553s"",\n      ""descripcion_vlm"": ""1 p. (P1: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1554s"",\n      ""descripcion_vlm"": ""1 p. (P1: De pie (?))"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1555s"",\n      ""descripcion_vlm"": ""1 p. (P174: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1556s"",\n      ""descripcion_vlm"": ""1 p. (P1: De pie (?))"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1557s"",\n      ""descripcion_vlm"": ""1 p. (P1: De pie o caminando)"",\n      ""alerta"": false\n    }\n  ]\n}', '[Zona: Quirófano 1 | Vuelta: 1]\n""tiempo"": ""1047s"",\n      ""descripcion_vlm"": ""1 p. (P148: De pie o caminando)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1048s"",\n      ""descripcion_vlm"": ""1 p. (P148: De pie (?))"",\n      ""alerta"": false\n    }\n  ]\n}']","Según el contexto de sensores recuperado, en la zona del Quirófano 2 (Vuelta: 1), no hay información registrada que indique una situación específica.","Sí, se está realizando una intervención a un paciente que está tumbado en la cama. Hay tres trabajadores del hospital realizandolo",0.6060268002335911,0.0,0.3333333333333333,short,hybrid+reranker+simplified,,
¿Se está haciendo alguna actividad en el Quirófano 2?,"['[Zona: Quirófano 2 | Vuelta: 1]\n{\n  ""tipo_zona"": ""Crítica y Alta Esterilidad"",\n  ""rango_temporal"": ""1362s - 1557s"",\n  ""eventos_recientes"": [\n    {\n      ""tiempo"": ""1365s"",\n      ""descripcion_vlm"": ""1 p. (P1: Caída URGENTE)"",\n      ""alerta"": true\n    },\n    {\n      ""tiempo"": ""1366s"",\n      ""descripcion_vlm"": ""1 p. (P1: Caída URGENTE)"",\n      ""alerta"": true\n    },\n    {\n      ""tiempo"": ""1367s"",\n      ""descripcion_vlm"": ""1 p. (P1: Caída URGENTE)"",\n      ""alerta"": true\n    },\n    {\n      ""tiempo"": ""1468s"",\n      ""descripcion_vlm"": ""1 p. (P1: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1473s"",\n      ""descripcion_vlm"": ""1 p. (P1: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1474s"",\n      ""descripcion_vlm"": ""1 p. (P1: De pie (?))"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1478s"",\n      ""descripcion_vlm"": ""1 p. (P1: De pie (?))"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1480s"",\n      ""descripcion_vlm"": ""1 p. (P1: De pie o caminando)"",\n      ""alerta"": false\n    },', '[Zona: Quirófano 2 | Vuelta: 1]\n""alerta"": false\n    },\n    {\n      ""tiempo"": ""1517s"",\n      ""descripcion_vlm"": ""2 p. (P169: De pie (?), P170: De pie (?))"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1550s"",\n      ""descripcion_vlm"": ""1 p. (P1: De pie (?))"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1553s"",\n      ""descripcion_vlm"": ""1 p. (P1: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1554s"",\n      ""descripcion_vlm"": ""1 p. (P1: De pie (?))"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1555s"",\n      ""descripcion_vlm"": ""1 p. (P174: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1556s"",\n      ""descripcion_vlm"": ""1 p. (P1: De pie (?))"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1557s"",\n      ""descripcion_vlm"": ""1 p. (P1: De pie o caminando)"",\n      ""alerta"": false\n    }\n  ]\n}', '[Zona: Escaleras 2 | Vuelta: 1]\n{\n  ""tipo_zona"": ""Tránsito y Evacuación"",\n  ""rango_temporal"": ""2388s - 2395s"",\n  ""eventos_recientes"": []\n}']","Sí, hay al menos una persona (P1) que ha estado realizando actividades en el Quirófano 2. Se han registrado varias entradas con descripciones como ""Caída URGENTE"", ""Sentada"", ""De pie"" o ""Caminando"".","Sí, se está realizando una intervención quirúrgica a un paciente que está tumbado en la cama. Hay tres trabajadores del hospital realizandolo",0.612986883807974,0.6742934038019252,0.6666666666666666,short,hybrid+reranker+simplified,,
¿Se detecta a alguna persona caída en el suelo en alguna zona del hospital?,"['[Zona: Habitación Compartida 2 | Vuelta: 1]\n{\n  ""tipo_zona"": ""Privada y Pacientes"",\n  ""rango_temporal"": ""1068s - 1190s"",\n  ""eventos_recientes"": [\n    {\n      ""tiempo"": ""1155s"",\n      ""descripcion_vlm"": ""1 p. (P1: Caída URGENTE)"",\n      ""alerta"": true\n    }\n  ]\n}', '[Zona: Escaleras 2 | Vuelta: 1]\n{\n  ""tipo_zona"": ""Tránsito y Evacuación"",\n  ""rango_temporal"": ""2388s - 2395s"",\n  ""eventos_recientes"": []\n}', '[Zona: Habitación Compartida 4 | Vuelta: 1]\n{\n  ""tipo_zona"": ""Privada y Pacientes"",\n  ""rango_temporal"": ""1369s - 1457s"",\n  ""eventos_recientes"": [\n    {\n      ""tiempo"": ""1369s"",\n      ""descripcion_vlm"": ""1 p. (P1: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1378s"",\n      ""descripcion_vlm"": ""1 p. (P1: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1379s"",\n      ""descripcion_vlm"": ""2 p. (P1: Sentada, P2: Caída URGENTE)"",\n      ""alerta"": true\n    },\n    {\n      ""tiempo"": ""1429s"",\n      ""descripcion_vlm"": ""1 p. (P1: De pie o caminando)"",\n      ""alerta"": false\n    }\n  ]\n}']","Sí, hay un registro de caída urgente en la Habitación Compartida 2 (P1: Caída URGENTE) y en la Habitación Compartida 4 (P2: Caída URGENTE).","Sí, hay una trabajadora en el suelo en la Habitación Compartida 2",0.6709055330292696,0.44114729740151176,1.0,short,hybrid+reranker+simplified,,
"En la Habitación Compartida 4, ¿las personas detectadas están acostadas en las camas o hay alguien de pie/sentado?","['[Zona: Habitación Compartida 4 | Vuelta: 1]\n{\n  ""tipo_zona"": ""Privada y Pacientes"",\n  ""rango_temporal"": ""1369s - 1457s"",\n  ""eventos_recientes"": [\n    {\n      ""tiempo"": ""1369s"",\n      ""descripcion_vlm"": ""1 p. (P1: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1378s"",\n      ""descripcion_vlm"": ""1 p. (P1: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1379s"",\n      ""descripcion_vlm"": ""2 p. (P1: Sentada, P2: Caída URGENTE)"",\n      ""alerta"": true\n    },\n    {\n      ""tiempo"": ""1429s"",\n      ""descripcion_vlm"": ""1 p. (P1: De pie o caminando)"",\n      ""alerta"": false\n    }\n  ]\n}', '[Zona: Habitación Compartida 3 | Vuelta: 1]\n{\n  ""tipo_zona"": ""Privada y Pacientes"",\n  ""rango_temporal"": ""1065s - 1285s"",\n  ""eventos_recientes"": []\n}', '[Zona: Habitación Individual 4 | Vuelta: 1]\n{\n  ""tipo_zona"": ""Privada y Pacientes"",\n  ""rango_temporal"": ""2138s - 2222s"",\n  ""eventos_recientes"": [\n    {\n      ""tiempo"": ""2141s"",\n      ""descripcion_vlm"": ""1 p. (P1: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""2142s"",\n      ""descripcion_vlm"": ""1 p. (P236: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""2143s"",\n      ""descripcion_vlm"": ""1 p. (P236: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""2144s"",\n      ""descripcion_vlm"": ""1 p. (P236: De pie (?))"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""2198s"",\n      ""descripcion_vlm"": ""1 p. (P236: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""2220s"",\n      ""descripcion_vlm"": ""2 p. (P1: De pie (?), P2: De pie (?))"",\n      ""alerta"": false\n    }\n  ]\n}']","Según el contexto de sensores recuperado, en la Habitación Compartida 4, las personas detectadas se han encontrado:

* En un momento, una persona (P1) sentada.
* Luego, dos personas (P1 y P2) con P2 caída urgentemente.
* Finalmente, otra persona (P1) de pie o caminando.

No hay información registrada sobre personas acostadas en las camas.",Hay dos pacientes en las camas y una trabajadora de pie al lado de uno de los pacientes,0.5565041359409666,0.6360115124680211,0.8333333333333334,short,hybrid+reranker+simplified,,
¿Cuántas personas hay actualmente en la Sala Común?,"['[Zona: Sala Común | Vuelta: 1]\n{\n  ""tipo_zona"": ""Pública y Espera"",\n  ""rango_temporal"": ""1286s - 1361s"",\n  ""eventos_recientes"": [\n    {\n      ""tiempo"": ""1306s"",\n      ""descripcion_vlm"": ""2 p. (P1: De pie (?), P2: De pie o caminando)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1307s"",\n      ""descripcion_vlm"": ""2 p. (P150: De pie (?), P151: De pie o caminando)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1308s"",\n      ""descripcion_vlm"": ""2 p. (P150: De pie (?), P151: De pie o caminando)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1309s"",\n      ""descripcion_vlm"": ""2 p. (P150: De pie (?), P151: De pie o caminando)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1310s"",\n      ""descripcion_vlm"": ""2 p. (P150: De pie (?), P151: De pie o caminando). - Sujeto ID_150 (Caja ROJA): Historial -> De pie o caminando ... (?)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""1311s"",', '[Zona: Habitación Compartida 3 | Vuelta: 1]\n{\n  ""tipo_zona"": ""Privada y Pacientes"",\n  ""rango_temporal"": ""1065s - 1285s"",\n  ""eventos_recientes"": []\n}', '[Zona: Sala Común | Vuelta: 1]\n""alerta"": false\n    },\n    {\n      ""tiempo"": ""1343s"",\n      ""descripcion_vlm"": ""2 p. (P1: Caída URGENTE, P2: Caída URGENTE)"",\n      ""alerta"": true\n    },\n    {\n      ""tiempo"": ""1344s"",\n      ""descripcion_vlm"": ""1 p. (P1: Sentada (?))"",\n      ""alerta"": false\n    }\n  ]\n}']","Sí, hay dos personas presentes en la Sala Común.","En la sala común hay dos personas de pie con el móvil, frente a frente",0.7952722589193919,0.6092066982235915,1.0,short,hybrid+reranker+simplified,,
¿Hay alguien que requiera asistencia en el interior de algún Baño?,"['[Zona: Habitación Compartida 2 | Vuelta: 1]\n{\n  ""tipo_zona"": ""Privada y Pacientes"",\n  ""rango_temporal"": ""1068s - 1190s"",\n  ""eventos_recientes"": [\n    {\n      ""tiempo"": ""1155s"",\n      ""descripcion_vlm"": ""1 p. (P1: Caída URGENTE)"",\n      ""alerta"": true\n    }\n  ]\n}', '[Zona: Habitación Individual 4 | Vuelta: 1]\n{\n  ""tipo_zona"": ""Privada y Pacientes"",\n  ""rango_temporal"": ""2138s - 2222s"",\n  ""eventos_recientes"": [\n    {\n      ""tiempo"": ""2141s"",\n      ""descripcion_vlm"": ""1 p. (P1: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""2142s"",\n      ""descripcion_vlm"": ""1 p. (P236: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""2143s"",\n      ""descripcion_vlm"": ""1 p. (P236: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""2144s"",\n      ""descripcion_vlm"": ""1 p. (P236: De pie (?))"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""2198s"",\n      ""descripcion_vlm"": ""1 p. (P236: Sentada)"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""2220s"",\n      ""descripcion_vlm"": ""2 p. (P1: De pie (?), P2: De pie (?))"",\n      ""alerta"": false\n    }\n  ]\n}', '[Zona: Habitación Compartida 1 | Vuelta: 1]\n{\n  ""tipo_zona"": ""Privada y Pacientes"",\n  ""rango_temporal"": ""665s - 813s"",\n  ""eventos_recientes"": [\n    {\n      ""tiempo"": ""665s"",\n      ""descripcion_vlm"": ""1 p. (P1: Sentada (?))"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""666s"",\n      ""descripcion_vlm"": ""1 p. (P145: Sentada (?))"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""667s"",\n      ""descripcion_vlm"": ""1 p. (P145: Sentada (?))"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""668s"",\n      ""descripcion_vlm"": ""1 p. (P145: Sentada (?))"",\n      ""alerta"": false\n    },\n    {\n      ""tiempo"": ""717s"",\n      ""descripcion_vlm"": ""1 p. (P145: Sentada (?))"",\n      ""alerta"": false\n    }\n  ]\n}']",No hay información registrada sobre situaciones de emergencia o necesidad de asistencia en los baños del hospital.,"No, no hay nadie en ningún baño",0.6486559118976004,0.0,1.0,short,hybrid+reranker+simplified,,
