user_input,retrieved_contexts,response,reference,answer_correctness,faithfulness,answer_relevancy,evaluation_name
¿Qué actividad humana se está realizando?,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 03:15s | Posibles actividades: Andar, Empujar camillas (entre otras)']","ATENCIÓN Caída detectada (cuerpo en el suelo), ENVIAR AYUDA URGENTEMENTE.",Hay una persona tirada en el suelo.,0.4758939365067776,0.6666666666666666,0.5116771504167029,300w_NoTrack
¿Hay alguna emergencia médica o persona en el suelo?,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 03:15s | Posibles actividades: Andar, Empujar camillas (entre otras)']",Sí. Caída detectada (cuerpo en el suelo).,"Sí, hay una persona caída en el suelo.",0.6852635891396828,0.5,0.4661032684606181,300w_NoTrack
¿Se ha detectado alguna persona?,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 03:15s | Posibles actividades: Andar, Empujar camillas (entre otras)']","Sí, se han detectado 1 persona(s).",Sí,0.7519423654976962,0.5,0.7641769845534253,300w_NoTrack
¿Qué actividad humana se está realizando?,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 14:30s | Posibles actividades: Andar, Empujar camillas (entre otras)']","""No hay actividades"".",Despejado.,0.769192258204427,0.0,0.7835216967998493,300w_NoTrack
¿Se ha detectado alguna persona?,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 14:30s | Posibles actividades: Andar, Empujar camillas (entre otras)']",No hay información.,No,0.5646738638118541,0.0,0.0,300w_NoTrack
¿Qué actividad humana se está realizando?,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 15:30s | Posibles actividades: Andar, Empujar camillas (entre otras)']",Persona sentada.,Una persona andando.,0.651887019077067,0.0,0.5633727765893198,300w_NoTrack
¿Cuántas personas hay andando en la imagen?,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 15:30s | Posibles actividades: Andar, Empujar camillas (entre otras)']","Según el JSON, solo se detecta una persona (Persona 1) y su actividad es ""Persona sentada"", lo que significa que no está andando. Por tanto, la respuesta es: ""0"" personas andando en la imagen.",Hay una persona andando.,0.6238731914866913,0.0,0.7937464805826204,300w_NoTrack
¿Hay alguna persona en la imagen?,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 15:30s | Posibles actividades: Andar, Empujar camillas (entre otras)']","Sí, se ha detectado una persona sentada.",Sí,0.7483180580106346,0.5,0.5592342760308182,300w_NoTrack
¿Qué actividad humana se está realizando?,"['[RAG INYECTADO] Zona: Quirófano | Tiempo: 11:15s | Posibles actividades: Realizar cirugía, Preparar instrumental (entre otras)']",Preparación quirúrgica o atención al paciente.,Una operación o acompañantes y una persona en la cama.,0.5634553946650607,1.0,0.5712923920601128,300w_NoTrack
¿Cuántas personas hay en la imagen y qué hacen?,"['[RAG INYECTADO] Zona: Quirófano | Tiempo: 11:15s | Posibles actividades: Realizar cirugía, Preparar instrumental (entre otras)']","Según el JSON, hay 1 persona en la imagen. Señalmente, una mujer está de pie al lado de una mesa de operaciones, probablemente preparándose para una cirugía o atendiendo a un paciente.",Dos personas de pie y una tumbada.,0.49329782395936494,0.5,0.6665638589781918,300w_NoTrack
