user_input,retrieved_contexts,response,reference,answer_correctness,answer_relevancy,faithfulness,eval_type,evaluation_name,reference_contexts,summary_score
¿Cuántas personas hay exactamente en la zona de Recepción en este momento?,"[""La zona 'Recepcion' está despejada, sin eventos ni personas."", ""La zona 'Escaleras 1' está despejada, sin eventos ni personas."", ""La zona 'Almacén 1' está despejada, sin eventos ni personas."", ""En la zona 'Habitación Individual 1': Descansan en cama. No hay alertas ni peligros."", ""En la zona 'Habitación Individual 2': Descansando en cama. No hay alertas ni peligros."", ""En la zona 'Oficina 1': En ordenador gestionando documentos. No hay alertas ni peligros."", ""En la zona 'Baño 1': Se lavan las manos al entrar al baño.. No hay alertas ni peligros."", ""En la zona 'Baño 1': . No hay alertas ni peligros."", ""En la zona 'Baño 1': Lavado de manos. No hay alertas ni peligros."", ""La zona 'Habitación Compartida 1' está despejada, sin eventos ni personas."", ""La zona 'Quirófano 1' está despejada, sin eventos ni personas."", ""La zona 'Habitación Compartida 2' está despejada, sin eventos ni personas."", ""En la zona 'Habitación Compartida 3': Descansar en cama y conversar. No hay alertas ni peligros."", ""En la zona 'Habitación Compartida 3': Descansan y conversan.. No hay alertas ni peligros."", ""La zona 'Sala Común' está despejada, sin eventos ni personas."", ""La zona 'Quirófano 2' está despejada, sin eventos ni personas."", ""La zona 'Habitación Compartida 4' está despejada, sin eventos ni personas."", ""En la zona 'Baño 2': Aseo personal y lavado de manos.. No hay alertas ni peligros."", ""En la zona 'Baño 2': Lavándose las manos.. No hay alertas ni peligros."", ""En la zona 'Baño 2': Las personas se lavan las manos.. No hay alertas ni peligros."", ""La zona 'Habitación Compartida 5' está despejada, sin eventos ni personas."", ""La zona 'Oficina 2' está despejada, sin eventos ni personas."", ""La zona 'Habitación Individual 3' está despejada, sin eventos ni personas."", ""La zona 'Habitación Individual 4' está despejada, sin eventos ni personas."", ""La zona 'Almacén 2' está despejada, sin eventos ni personas."", ""En la zona 'Escaleras 2': Brevemente suben y bajan.. No hay alertas ni peligros.""]","Según el registro, no se tiene información sobre el número de personas en la zona de Recepción. La zona de Recepción está registrada como ""Desconocida"" en cuanto al tipo de zona y no hay eventos recientes registrados que indiquen el número de personas presentes.",Hay seis personas,0.6502987238468407,0.0,0.6666666666666666,short,video,,
¿Hay alguna persona presente en la Habitación Individual 1 o se encuentra vacía?,"[""En la zona 'Habitación Individual 1': Descansan en cama. No hay alertas ni peligros.""]","Según el registro, hay una persona presente en la Habitación Individual 1 ya que se registra un evento ""Descansan en cama"" a las 284s.",No hay nadie en la Habitación Individual 1,0.17637854406331505,0.6887743791716967,1.0,short,video,,
¿El pasillo está completamente vacío o hay personas transitando por él?,"[""La zona 'Recepcion' está despejada, sin eventos ni personas."", ""La zona 'Escaleras 1' está despejada, sin eventos ni personas."", ""La zona 'Almacén 1' está despejada, sin eventos ni personas."", ""En la zona 'Habitación Individual 1': Descansan en cama. No hay alertas ni peligros."", ""En la zona 'Habitación Individual 2': Descansando en cama. No hay alertas ni peligros."", ""En la zona 'Oficina 1': En ordenador gestionando documentos. No hay alertas ni peligros."", ""En la zona 'Baño 1': Se lavan las manos al entrar al baño.. No hay alertas ni peligros."", ""En la zona 'Baño 1': . No hay alertas ni peligros."", ""En la zona 'Baño 1': Lavado de manos. No hay alertas ni peligros."", ""La zona 'Habitación Compartida 1' está despejada, sin eventos ni personas."", ""La zona 'Quirófano 1' está despejada, sin eventos ni personas."", ""La zona 'Habitación Compartida 2' está despejada, sin eventos ni personas."", ""En la zona 'Habitación Compartida 3': Descansar en cama y conversar. No hay alertas ni peligros."", ""En la zona 'Habitación Compartida 3': Descansan y conversan.. No hay alertas ni peligros."", ""La zona 'Sala Común' está despejada, sin eventos ni personas."", ""La zona 'Quirófano 2' está despejada, sin eventos ni personas."", ""La zona 'Habitación Compartida 4' está despejada, sin eventos ni personas."", ""En la zona 'Baño 2': Aseo personal y lavado de manos.. No hay alertas ni peligros."", ""En la zona 'Baño 2': Lavándose las manos.. No hay alertas ni peligros."", ""En la zona 'Baño 2': Las personas se lavan las manos.. No hay alertas ni peligros."", ""La zona 'Habitación Compartida 5' está despejada, sin eventos ni personas."", ""La zona 'Oficina 2' está despejada, sin eventos ni personas."", ""La zona 'Habitación Individual 3' está despejada, sin eventos ni personas."", ""La zona 'Habitación Individual 4' está despejada, sin eventos ni personas."", ""La zona 'Almacén 2' está despejada, sin eventos ni personas."", ""En la zona 'Escaleras 2': Brevemente suben y bajan.. No hay alertas ni peligros.""]","No hay registro de eventos en las escaleras (Escaleras 1 y Escaleras 2), por lo que no se puede determinar si el pasillo está vacío o no. Sin embargo, en Escaleras 2 se registra un evento reciente: ""Brevemente suben y bajan."" a las 2326s, lo que sugiere que es posible que haya personas transitando por el pasillo, pero no hay certeza absoluta.","Hay varias personas, una caminando, otra corriendo y una trabajadora del hospital llevando a un paciente en silla de ruedas",0.4002568650441276,0.0,0.0,short,video,,
¿Cuántas personas en total se detectan dentro de la Habitación Compartida 2?,"[""La zona 'Habitación Compartida 2' está despejada, sin eventos ni personas.""]","No hay detectadas personas en la Habitación Compartida 2, ya que no hay eventos recientes registrados en ese área.",No hay nadie en la Habitacion Compartida 2,0.782410624034076,0.6041993071083369,1.0,short,video,,
¿Hay alguien presente dentro del Quirófano 2?,"[""La zona 'Quirófano 2' está despejada, sin eventos ni personas.""]","No, según el registro visual, no hay eventos recientes ni actividad registrada en el Quirófano 2.","Sí, se está realizando una intervención a un paciente que está tumbado en la cama. Hay tres trabajadores del hospital realizandolo",0.17584487485096334,0.6234149055206113,0.5,short,video,,
¿Se está haciendo alguna actividad en el Quirófano 2?,"[""La zona 'Quirófano 2' está despejada, sin eventos ni personas.""]","No, no hay eventos recientes ni actividad registrada en el Quirófano 2.","Sí, se está realizando una intervención quirúrgica a un paciente que está tumbado en la cama. Hay tres trabajadores del hospital realizandolo",0.6017561360752515,0.8332943677471056,1.0,short,video,,
¿Se detecta a alguna persona caída en el suelo en alguna zona del hospital?,"[""La zona 'Recepcion' está despejada, sin eventos ni personas."", ""La zona 'Escaleras 1' está despejada, sin eventos ni personas."", ""La zona 'Almacén 1' está despejada, sin eventos ni personas."", ""En la zona 'Habitación Individual 1': Descansan en cama. No hay alertas ni peligros."", ""En la zona 'Habitación Individual 2': Descansando en cama. No hay alertas ni peligros."", ""En la zona 'Oficina 1': En ordenador gestionando documentos. No hay alertas ni peligros."", ""En la zona 'Baño 1': Se lavan las manos al entrar al baño.. No hay alertas ni peligros."", ""En la zona 'Baño 1': . No hay alertas ni peligros."", ""En la zona 'Baño 1': Lavado de manos. No hay alertas ni peligros."", ""La zona 'Habitación Compartida 1' está despejada, sin eventos ni personas."", ""La zona 'Quirófano 1' está despejada, sin eventos ni personas."", ""La zona 'Habitación Compartida 2' está despejada, sin eventos ni personas."", ""En la zona 'Habitación Compartida 3': Descansar en cama y conversar. No hay alertas ni peligros."", ""En la zona 'Habitación Compartida 3': Descansan y conversan.. No hay alertas ni peligros."", ""La zona 'Sala Común' está despejada, sin eventos ni personas."", ""La zona 'Quirófano 2' está despejada, sin eventos ni personas."", ""La zona 'Habitación Compartida 4' está despejada, sin eventos ni personas."", ""En la zona 'Baño 2': Aseo personal y lavado de manos.. No hay alertas ni peligros."", ""En la zona 'Baño 2': Lavándose las manos.. No hay alertas ni peligros."", ""En la zona 'Baño 2': Las personas se lavan las manos.. No hay alertas ni peligros."", ""La zona 'Habitación Compartida 5' está despejada, sin eventos ni personas."", ""La zona 'Oficina 2' está despejada, sin eventos ni personas."", ""La zona 'Habitación Individual 3' está despejada, sin eventos ni personas."", ""La zona 'Habitación Individual 4' está despejada, sin eventos ni personas."", ""La zona 'Almacén 2' está despejada, sin eventos ni personas."", ""En la zona 'Escaleras 2': Brevemente suben y bajan.. No hay alertas ni peligros.""]","Según el registro, no se ha reportado ningún evento relacionado con una persona caída en el suelo en ninguna de las zonas analizadas.","Sí, hay una trabajadora en el suelo en la Habitación Compartida 2",0.771026955324203,0.0,0.0,short,video,,
"En la Habitación Compartida 4, ¿las personas detectadas están acostadas en las camas o hay alguien de pie/sentado?","[""La zona 'Habitación Compartida 4' está despejada, sin eventos ni personas.""]","Según el registro, no hay eventos recientes registrados en la Habitación Compartida 4. Por lo tanto, no se puede determinar si las personas están acostadas en las camas o están de pie/sentado.",Hay dos pacientes en las camas y una trabajadora de pie al lado de uno de los pacientes,0.4754206836948379,0.0,0.5,short,video,,
¿Cuántas personas hay actualmente en la Sala Común?,"[""La zona 'Sala Común' está despejada, sin eventos ni personas.""]","No se reportan eventos recientes ni actividad en la Sala Común, por lo que no puedo determinar con precisión cuántas personas están presentes. La zona está vacía según el registro de patrulla.","En la sala común hay dos personas de pie con el móvil, frente a frente",0.4811511189703759,0.0,0.6666666666666666,short,video,,
¿Hay alguien que requiera asistencia en el interior de algún Baño?,"[""La zona 'Recepcion' está despejada, sin eventos ni personas."", ""La zona 'Escaleras 1' está despejada, sin eventos ni personas."", ""La zona 'Almacén 1' está despejada, sin eventos ni personas."", ""En la zona 'Habitación Individual 1': Descansan en cama. No hay alertas ni peligros."", ""En la zona 'Habitación Individual 2': Descansando en cama. No hay alertas ni peligros."", ""En la zona 'Oficina 1': En ordenador gestionando documentos. No hay alertas ni peligros."", ""En la zona 'Baño 1': Se lavan las manos al entrar al baño.. No hay alertas ni peligros."", ""En la zona 'Baño 1': . No hay alertas ni peligros."", ""En la zona 'Baño 1': Lavado de manos. No hay alertas ni peligros."", ""La zona 'Habitación Compartida 1' está despejada, sin eventos ni personas."", ""La zona 'Quirófano 1' está despejada, sin eventos ni personas."", ""La zona 'Habitación Compartida 2' está despejada, sin eventos ni personas."", ""En la zona 'Habitación Compartida 3': Descansar en cama y conversar. No hay alertas ni peligros."", ""En la zona 'Habitación Compartida 3': Descansan y conversan.. No hay alertas ni peligros."", ""La zona 'Sala Común' está despejada, sin eventos ni personas."", ""La zona 'Quirófano 2' está despejada, sin eventos ni personas."", ""La zona 'Habitación Compartida 4' está despejada, sin eventos ni personas."", ""En la zona 'Baño 2': Aseo personal y lavado de manos.. No hay alertas ni peligros."", ""En la zona 'Baño 2': Lavándose las manos.. No hay alertas ni peligros."", ""En la zona 'Baño 2': Las personas se lavan las manos.. No hay alertas ni peligros."", ""La zona 'Habitación Compartida 5' está despejada, sin eventos ni personas."", ""La zona 'Oficina 2' está despejada, sin eventos ni personas."", ""La zona 'Habitación Individual 3' está despejada, sin eventos ni personas."", ""La zona 'Habitación Individual 4' está despejada, sin eventos ni personas."", ""La zona 'Almacén 2' está despejada, sin eventos ni personas."", ""En la zona 'Escaleras 2': Brevemente suben y bajan.. No hay alertas ni peligros.""]","Sí, hay una persona que requiere asistencia en el baño ""Baño 1"" (836s) y otra en el baño ""Baño 2"" (1633s, 1638s, 1834s).","No, no hay nadie en ningún baño",0.34532196308952334,0.6616937149884671,0.0,short,video,,
