user_input,retrieved_contexts,response,reference,answer_correctness,faithfulness,answer_relevancy,evaluation_name
¿Qué actividad humana se está realizando?,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 03:15s | Posibles actividades: Andar, Empujar camillas (entre otras)']","ATENCIÓN Caída detectada (cuerpo en el suelo), ENVIAR AYUDA URGENTEMENTE.",Hay una persona tirada en el suelo.,0.604465365078206,0.666666666666667,0.509901710300989,300w_WithTrack
¿Hay alguna emergencia médica o persona en el suelo?,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 03:15s | Posibles actividades: Andar, Empujar camillas (entre otras)']",Sí. La descripción del VLM indica la detección de una caída detectada (cuerpo en el suelo) y se recomienda enviar ayuda urgente.,"Sí, hay una persona caída en el suelo.",0.778957001349166,1,0.43711509007659,300w_WithTrack
¿Se ha detectado alguna persona?,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 03:15s | Posibles actividades: Andar, Empujar camillas (entre otras)']","Sí, se ha detectado 1 persona(s).",Sí,0.753769026523661,0.5,0.755738961191106,300w_WithTrack
¿Qué actividad humana se está realizando?,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 14:30s | Posibles actividades: Andar, Empujar camillas (entre otras)']",No hay actividades.,Despejado.,0.769854422146856,0,0.769813314425415,300w_WithTrack
¿Se ha detectado alguna persona?,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 14:30s | Posibles actividades: Andar, Empujar camillas (entre otras)']",No hay información.,No,0.564673863811854,0,0,300w_WithTrack
¿Qué actividad humana se está realizando?,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 15:30s | Posibles actividades: Andar, Empujar camillas (entre otras)']",Persona sentada.,Una persona andando.,0.651887019077067,0,0.555661807313228,300w_WithTrack
¿Cuántas personas hay andando en la imagen?,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 15:30s | Posibles actividades: Andar, Empujar camillas (entre otras)']",No hay información.,Hay una persona andando.,0.622150156536471,0,0,300w_WithTrack
¿Hay alguna persona en la imagen?,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 15:30s | Posibles actividades: Andar, Empujar camillas (entre otras)']","Sí, se han detectado 1 persona(s).",Sí,0.901942365497696,0.5,0.570663393188735,300w_WithTrack
¿Qué actividad humana se está realizando?,"['[RAG INYECTADO] Zona: Quirófano | Tiempo: 11:15s | Posibles actividades: Realizar cirugía, Preparar instrumental (entre otras)']","Según el JSON, la persona detectada (Sujeto ID_98) está de pie y su presencia ha sido confirmada por ambos modelos. Por lo tanto, la respuesta es:
""Persona de pie""",Una operación o acompañantes y una persona en la cama.,0.560497203244612,0.25,0.582543886369476,300w_WithTrack
¿Cuántas personas hay en la imagen y qué hacen?,"['[RAG INYECTADO] Zona: Quirófano | Tiempo: 11:15s | Posibles actividades: Realizar cirugía, Preparar instrumental (entre otras)']","Según el JSON, se han detectado 1 persona. La actividad detectada es ""Persona de pie"" (con poca confianza).",Dos personas de pie y una tumbada.,0.568071845519947,0,0.628264656082246,300w_WithTrack
¿Qué actividad humana se está realizando?,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 15:30s | Posibles actividades: Andar, Empujar camillas (entre otras)']","Según el JSON, la persona se encuentra sentada y ha detectado una caída. Se envía ayuda urgente.",Una persona corriendo.,0.555720929594422,0.2,0.605531096410379,300w_WithTrack
¿Cuántas personas hay corriendo en la imagen?,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 15:30s | Posibles actividades: Andar, Empujar camillas (entre otras)']",No hay información.,Hay una persona corriendo.,0.627799776878961,0,0,300w_WithTrack
¿Hay alguna persona en la imagen?,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 15:30s | Posibles actividades: Andar, Empujar camillas (entre otras)']","Sí, se ha detectado una persona en la imagen.",Sí,0.648989786254031,1,0.825654241158712,300w_WithTrack
¿Qué actividad humana se está realizando?,"['[RAG INYECTADO] Zona: Sala Común | Tiempo: 15:30s | Posibles actividades: Esperar sentado, Conversar con otros (entre otras)']",Persona sentada | Persona sentada | persona de pie o caminando.,Dos personas de pie con el móvil.,0.575565823757368,0.5,0.512509226385571,300w_WithTrack
¿Cuántas personas hay en la imagen?,"['[RAG INYECTADO] Zona: Sala Común | Tiempo: 15:30s | Posibles actividades: Esperar sentado, Conversar con otros (entre otras)']","Según el JSON, se han detectado 2 personas.",Hay dos personas.,0.788772856678022,0.5,0.7507121429415,300w_WithTrack
¿Hay alguna persona en la imagen?,"['[RAG INYECTADO] Zona: Sala Común | Tiempo: 15:30s | Posibles actividades: Esperar sentado, Conversar con otros (entre otras)']","Sí, se han detectado 2 personas en la imagen.",Sí,0.635818912243939,0.5,0.814828834517518,300w_WithTrack
¿Qué actividad humana se está realizando?,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 17:50s | Posibles actividades: Andar, Empujar camillas (entre otras)']","Según la descripción del modelo de visión artificial, se han detectado 4 personas. La caja AZUL, VERDE, AMARILLA y MAGENTA mencionan sujetos con un historial empusado que deben ser descubiertos con una mensaje o aplicación. Sin embargo, no hay información específica sobre la actividad humana en sí misma.

Resumen: No hay información.",Una trabajadora llevando a un paciente en silla de ruedas.,0.49769695414335,0.25,0,300w_WithTrack
¿Cuántas personas hay en la imagen?,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 17:50s | Posibles actividades: Andar, Empujar camillas (entre otras)']","Según el JSON, se han detectado 4 persona(s).",Hay dos personas.,0.791731298694017,0.5,0.714261742716871,300w_WithTrack
¿Hay alguna persona en la imagen?,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 17:50s | Posibles actividades: Andar, Empujar camillas (entre otras)']","Sí, se han detectado 4 personas en la imagen.",Sí,0.635899705051493,0.5,0.746278959508743,300w_WithTrack
