user_input,response,reference,answer_correctness,answer_relevancy,Configuracion,Eval_Category,retrieved_contexts,faithfulness,evaluation_name,eval_type,reference_contexts,summary_score
¿Hay alguna emergencia médica o persona en el suelo?,"Sí, hay una emergencia médica o persona en el suelo.","Sí, hay una persona caída en el suelo y la alerta debe ser verdadera.",0.8086217456642588,0.7836566381331358,400w_NoTrack_perception_evaluation,perception,,,,,,
¿Debería activarse la alerta?,Sí.,Sí,0.2459724685557253,0.4491502725238745,400w_NoTrack_perception_evaluation,perception,,,,,,
¿Cuál es la descripción del estado de la zona?,"La descripción del estado de la zona es ""Despejado"".",Despejado.,,0.5447749723129731,400w_NoTrack_perception_evaluation,perception,,,,,,
¿Debería activarse la alerta?,"Según el JSON, la alerta está desactivada (false), por lo que no es necesario activarla.","No, la alerta debe ser falsa",0.6341994472017431,0.880797704501961,400w_NoTrack_perception_evaluation,perception,,,,,,
¿Qué actividad humana se está realizando?,"ATENCIÓN Caída detectada (cuerpo en el suelo), ENVIAR AYUDA URGENTEMENTE.",Hay una persona tirada en el suelo.,0.4758939365067776,0.5116771504167029,300w_NoTrack,perception,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 03:15s | Posibles actividades: Andar, Empujar camillas (entre otras)']",0.6666666666666666,300w_NoTrack,,,
¿Hay alguna emergencia médica o persona en el suelo?,Sí. Caída detectada (cuerpo en el suelo).,"Sí, hay una persona caída en el suelo.",0.6852635891396828,0.4661032684606181,300w_NoTrack,perception,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 03:15s | Posibles actividades: Andar, Empujar camillas (entre otras)']",0.5,300w_NoTrack,,,
¿Se ha detectado alguna persona?,"Sí, se han detectado 1 persona(s).",Sí,0.7519423654976962,0.7641769845534253,300w_NoTrack,perception,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 03:15s | Posibles actividades: Andar, Empujar camillas (entre otras)']",0.5,300w_NoTrack,,,
¿Qué actividad humana se está realizando?,"""No hay actividades"".",Despejado.,0.769192258204427,0.7835216967998493,300w_NoTrack,perception,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 14:30s | Posibles actividades: Andar, Empujar camillas (entre otras)']",0.0,300w_NoTrack,,,
¿Se ha detectado alguna persona?,No hay información.,No,0.5646738638118541,0.0,300w_NoTrack,perception,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 14:30s | Posibles actividades: Andar, Empujar camillas (entre otras)']",0.0,300w_NoTrack,,,
¿Qué actividad humana se está realizando?,Persona sentada.,Una persona andando.,0.651887019077067,0.5633727765893198,300w_NoTrack,perception,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 15:30s | Posibles actividades: Andar, Empujar camillas (entre otras)']",0.0,300w_NoTrack,,,
¿Cuántas personas hay andando en la imagen?,"Según el JSON, solo se detecta una persona (Persona 1) y su actividad es ""Persona sentada"", lo que significa que no está andando. Por tanto, la respuesta es: ""0"" personas andando en la imagen.",Hay una persona andando.,0.6238731914866913,0.7937464805826204,300w_NoTrack,perception,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 15:30s | Posibles actividades: Andar, Empujar camillas (entre otras)']",0.0,300w_NoTrack,,,
¿Hay alguna persona en la imagen?,"Sí, se ha detectado una persona sentada.",Sí,0.7483180580106346,0.5592342760308182,300w_NoTrack,perception,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 15:30s | Posibles actividades: Andar, Empujar camillas (entre otras)']",0.5,300w_NoTrack,,,
¿Qué actividad humana se está realizando?,Preparación quirúrgica o atención al paciente.,Una operación o acompañantes y una persona en la cama.,0.5634553946650607,0.5712923920601128,300w_NoTrack,perception,"['[RAG INYECTADO] Zona: Quirófano | Tiempo: 11:15s | Posibles actividades: Realizar cirugía, Preparar instrumental (entre otras)']",1.0,300w_NoTrack,,,
¿Cuántas personas hay en la imagen y qué hacen?,"Según el JSON, hay 1 persona en la imagen. Señalmente, una mujer está de pie al lado de una mesa de operaciones, probablemente preparándose para una cirugía o atendiendo a un paciente.",Dos personas de pie y una tumbada.,0.4932978239593649,0.6665638589781918,300w_NoTrack,perception,"['[RAG INYECTADO] Zona: Quirófano | Tiempo: 11:15s | Posibles actividades: Realizar cirugía, Preparar instrumental (entre otras)']",0.5,300w_NoTrack,,,
¿Qué actividad humana se está realizando?,Persona sentada | A man running in a hallway.,Una persona corriendo.,0.5636723690197359,0.5225954609806557,300w_NoTrack,perception,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 15:30s | Posibles actividades: Andar, Empujar camillas (entre otras)']",0.3333333333333333,300w_NoTrack,,,
¿Cuántas personas hay corriendo en la imagen?,1 persona.,Hay una persona corriendo.,0.6628475749993409,0.5925002585583151,300w_NoTrack,perception,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 15:30s | Posibles actividades: Andar, Empujar camillas (entre otras)']",0.0,300w_NoTrack,,,
¿Hay alguna persona en la imagen?,"Sí, se ha detectado una persona sentada.",Sí,0.6483180580106345,0.5615935217657678,300w_NoTrack,perception,"['[RAG INYECTADO] Zona: Pasillo | Tiempo: 15:30s | Posibles actividades: Andar, Empujar camillas (entre otras)']",0.5,300w_NoTrack,,,
¿Qué actividad humana se está realizando?,"Según el JSON, una de las personas está utilizando su teléfono móvil y la otra está mirando algo en su teléfono. Por lo tanto, la actividad humana que se está realizando es ""Usar un dispositivo móvil"".",Dos personas de pie con el móvil.,0.6225282083514299,0.5784473807953251,300w_NoTrack,perception,"['[RAG INYECTADO] Zona: Sala Común | Tiempo: 15:30s | Posibles actividades: Esperar sentado, Conversar con otros (entre otras)']",0.3333333333333333,300w_NoTrack,,,
